series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
imsa,Daytona 24 2026,fuel_window,GTP,5,496254,GTP-03,1,1,743,86352.16549078574,25,1696.9392313168228,795.2,192,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,496254,GTP-03,1,1,745,86383.11339296358,29,1759.5052622776168,784.8000000000001,193,0,2,-30.94790217783884,4,-62.56603096079402
imsa,Daytona 24 2026,track_position,GTP,5,496254,GTP-03,1,1,744,86288.2461815502,25,1712.5487683940858,720.8000000000001,191,0,1,63.91930923554173,0,-15.609537077262985
imsa,Daytona 24 2026,splash_and_dash,GTP,5,496254,GTP-03,1,1,743,86339.93950317946,26,1658.1182069398478,820.8000000000001,192,0,0,12.225987606288982,1,38.82102437697495
imsa,Daytona 24 2026,lap_down,GTP,5,496254,GTP-03,4,4,742,86298.68704943343,25,1701.4297063168228,836.0000000000001,192,-3,-1,53.47844135231571,0,-4.49047500000006
imsa,Daytona 24 2026,agent,GTP,5,496254,GTP-03,11,60,585,86379.35288956412,524,24580.870844858757,12.8,210,-10,-158,-27.18739877837652,499,-22883.931613541936
imsa,Daytona 24 2026,fuel_window,GTP,5,630088,GTP-05,4,4,795,86346.9885544567,27,2123.6546717914453,998.4000000000001,104,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,630088,GTP-05,6,6,795,86211.90098818672,33,2310.1067297226564,992.0000000000001,104,-2,0,135.0875662699691,6,-186.45205793121113
imsa,Daytona 24 2026,track_position,GTP,5,630088,GTP-05,1,1,796,86324.26289218121,26,2023.3390618560945,909.6,103,3,1,22.725662275479408,-1,100.31560993535072
imsa,Daytona 24 2026,splash_and_dash,GTP,5,630088,GTP-05,3,3,795,86284.42051710912,28,2084.4762049076776,993.6,104,1,0,62.56803734757705,1,39.17846688376767
imsa,Daytona 24 2026,lap_down,GTP,5,630088,GTP-05,3,3,795,86320.061690413,27,2128.5043847914453,950.4000000000001,104,1,0,26.926864043693058,0,-4.849713000000065
imsa,Daytona 24 2026,agent,GTP,5,630088,GTP-05,11,60,577,86336.89089541028,557,27771.18871287308,16.0,106,-7,-218,10.097659046412446,530,-25647.534041081635
imsa,Daytona 24 2026,fuel_window,GTP,5,589246,GTP-01,2,2,738,86342.8555674208,26,1788.7917803300822,729.6,203,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,589246,GTP-01,2,2,738,86385.77756195156,33,1934.392966336102,737.6,202,0,0,-42.92199453075591,7,-145.60118600601982
imsa,Daytona 24 2026,track_position,GTP,5,589246,GTP-01,2,2,737,86312.9488777168,26,1817.6206298300822,781.6,202,0,-1,29.90668970400293,0,-28.828849499999933
imsa,Daytona 24 2026,splash_and_dash,GTP,5,589246,GTP-01,2,2,738,86299.71374760935,27,1744.6150400327551,730.4000000000001,203,0,0,43.14181981145521,1,44.176740297327115
imsa,Daytona 24 2026,lap_down,GTP,5,589246,GTP-01,3,3,738,86352.33320774639,26,1791.0370178300823,736.8000000000001,203,-1,0,-9.477640325581888,0,-2.24523750000003
imsa,Daytona 24 2026,agent,GTP,5,589246,GTP-01,11,60,584,86367.40199219834,531,24709.65294631729,6.4,221,-9,-154,-24.54642477753805,505,-22920.861165987208
imsa,Daytona 24 2026,fuel_window,GTP,5,923572,GTP-01,2,2,765,86343.73896190908,24,1967.389610167454,821.6,156,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,923572,GTP-01,2,2,765,86333.93716345559,29,2045.5252645988476,893.6,154,0,0,9.801798453496303,5,-78.1356544313935
imsa,Daytona 24 2026,track_position,GTP,5,923572,GTP-01,3,3,765,86390.78619213258,25,2062.1544707599937,868.8000000000001,154,-1,0,-47.047230223499355,1,-94.76486059253966
imsa,Daytona 24 2026,splash_and_dash,GTP,5,923572,GTP-01,4,4,765,86391.81823396166,25,2016.8900468621882,819.2,156,-2,0,-48.079272052578744,1,-49.50043669473416
imsa,Daytona 24 2026,lap_down,GTP,5,923572,GTP-01,4,4,764,86306.59631183745,25,2054.520663259994,861.6,155,-2,-1,37.1426500716334,1,-87.13105309253979
imsa,Daytona 24 2026,agent,GTP,5,923572,GTP-01,11,60,574,86300.01429348085,533,26475.14042791646,11.200000000000001,165,-9,-191,43.72466842822905,509,-24507.750817749005
imsa,Daytona 24 2026,fuel_window,GTP,5,210692,GTP-04,9,9,718,86365.83757409961,23,1679.720084113682,660.8000000000001,240,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,210692,GTP-04,5,5,719,86443.96407571787,28,1732.072461628327,664.8000000000001,241,4,1,-78.12650161825877,5,-52.352377514644786
imsa,Daytona 24 2026,track_position,GTP,5,210692,GTP-04,9,9,719,86366.85579955135,23,1675.9661256356005,712.8000000000001,240,0,1,-1.0182254517421825,0,3.753958478081586
imsa,Daytona 24 2026,splash_and_dash,GTP,5,210692,GTP-04,8,8,718,86347.30436366372,24,1674.0728804869113,662.4000000000001,240,1,0,18.533210435896763,1,5.647203626770761
imsa,Daytona 24 2026,lap_down,GTP,5,210692,GTP-04,8,8,718,86353.9370454647,23,1651.3253378809275,691.2,239,1,0,11.900528634912916,0,28.394746232754642
imsa,Daytona 24 2026,agent,GTP,5,210692,GTP-04,11,60,579,86342.16508843073,518,23895.47857455261,8.8,260,-2,-139,23.672485668881563,495,-22215.758490438926
imsa,Daytona 24 2026,fuel_window,GTP,5,819051,GTP-02,3,3,746,86358.10422592699,25,2079.246271088635,806.4000000000001,192,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,819051,GTP-02,2,2,746,86373.05360525961,29,2081.380868189762,857.6,189,1,0,-14.94937933262554,4,-2.134597101127383
