series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
imsa,Daytona 24 2026,fuel_window,GTP,5,206068,GTP-04,9,9,722,86313.79544689709,23,1838.0388514550061,633.6,231,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,206068,GTP-04,7,7,724,86361.70529918068,29,1826.3042726147462,734.4000000000001,233,2,2,-47.90985228359932,6,11.734578840259928
imsa,Daytona 24 2026,track_position,GTP,5,206068,GTP-04,9,9,721,86255.62170972006,23,1843.3376119550062,724.8000000000001,235,0,-1,58.17373717702867,0,-5.298760500000071
imsa,Daytona 24 2026,splash_and_dash,GTP,5,206068,GTP-04,9,9,723,86358.46629647989,24,1785.0711919841667,633.6,231,0,1,-44.67084958280611,1,52.96765947083941
imsa,Daytona 24 2026,lap_down,GTP,5,206068,GTP-04,10,10,722,86324.54356792524,23,1840.2840889550062,665.6,231,-1,0,-10.748121028154856,0,-2.24523750000003
imsa,Daytona 24 2026,agent,GTP,5,206068,GTP-04,11,60,583,86321.41525570356,482,22616.514135597958,12.8,250,-2,-139,-7.619808806470246,459,-20778.47528414295
imsa,Daytona 24 2026,fuel_window,GTP,5,875093,GTP-02,5,5,744,86363.71372965425,25,1852.3459136421054,735.2,199,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,875093,GTP-02,5,5,744,86395.2440545222,30,1957.3115088399854,768.8000000000001,200,0,0,-31.530324867955642,5,-104.96559519788002
imsa,Daytona 24 2026,track_position,GTP,5,875093,GTP-02,8,8,744,86365.23465049415,25,1881.973299460827,819.2,203,-3,0,-1.5209208399028284,0,-29.627385818721677
imsa,Daytona 24 2026,splash_and_dash,GTP,5,875093,GTP-02,3,3,744,86356.08762952291,25,1852.3459136421054,731.2,199,2,0,7.626100131339626,0,0.0
imsa,Daytona 24 2026,lap_down,GTP,5,875093,GTP-02,5,5,743,86350.34089518315,25,1854.4115321421054,808.8000000000001,197,0,-1,13.372834471098031,0,-2.065618500000028
imsa,Daytona 24 2026,agent,GTP,5,875093,GTP-02,11,60,587,86389.8478319227,529,24967.84012141274,6.4,216,-6,-157,-26.13410226845008,504,-23115.494207770636
imsa,Daytona 24 2026,fuel_window,GTP,5,881909,GTP-01,1,1,753,86306.49388541657,25,1660.9264232826636,854.4000000000001,174,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,881909,GTP-01,1,1,754,86329.1905420909,30,1794.3276451367117,900.0000000000001,176,0,1,-22.696656674335827,5,-133.40122185404812
imsa,Daytona 24 2026,track_position,GTP,5,881909,GTP-01,11,11,754,86448.59024382631,25,1791.4968492947942,821.6,180,-10,1,-142.09635840974806,0,-130.5704260121306
imsa,Daytona 24 2026,splash_and_dash,GTP,5,881909,GTP-01,1,1,753,86303.85873510003,25,1657.2725538930738,855.2,174,0,0,2.635150316535146,0,3.6538693895897723
imsa,Daytona 24 2026,lap_down,GTP,5,881909,GTP-01,1,1,754,86432.74603327637,25,1662.0041372826636,816.8000000000001,175,0,1,-126.25214785980643,0,-1.0777140000000145
imsa,Daytona 24 2026,agent,GTP,5,881909,GTP-01,11,60,581,86425.27168585143,542,25921.472450833575,8.8,197,-10,-172,-118.77780043486564,517,-24260.54602755091
imsa,Daytona 24 2026,fuel_window,GTP,5,467187,GTP-08,10,10,715,86376.98491621311,23,1692.1655579380538,629.6,250,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,467187,GTP-08,10,10,715,86379.21126725359,29,1812.5689557398,593.6,247,0,0,-2.2263510404736735,6,-120.40339780174622
imsa,Daytona 24 2026,track_position,GTP,5,467187,GTP-08,7,7,714,86297.71733855366,21,1598.1736114364548,630.4000000000001,246,3,-1,79.26757765945513,-2,93.99194650159893
imsa,Daytona 24 2026,splash_and_dash,GTP,5,467187,GTP-08,10,10,715,86379.78842044776,25,1701.1624941592663,623.2,250,0,0,-2.8035042346455157,2,-8.996936221212536
imsa,Daytona 24 2026,lap_down,GTP,5,467187,GTP-08,6,6,715,86317.12664083327,22,1666.4567322572698,624.8000000000001,248,4,0,59.85827537984005,-1,25.708825680784003
imsa,Daytona 24 2026,agent,GTP,5,467187,GTP-08,11,60,589,86379.83041853107,513,23123.55363194167,5.6000000000000005,272,-1,-126,-2.845502317955834,490,-21431.38807400362
imsa,Daytona 24 2026,fuel_window,GTP,5,477398,GTP-01,3,3,806,86356.16695342577,27,2115.51338456927,1028.0,75,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,477398,GTP-01,4,4,806,86344.87481028447,29,2152.5934547507823,1004.8000000000001,75,-1,0,11.292143141297856,2,-37.08007018151238
imsa,Daytona 24 2026,track_position,GTP,5,477398,GTP-01,3,3,805,86322.46482803239,27,2067.691824533101,1109.6000000000001,73,0,-1,33.70212539337808,0,47.82156003616865
imsa,Daytona 24 2026,splash_and_dash,GTP,5,477398,GTP-01,4,4,806,86358.2046970324,27,2115.51338456927,1035.2,75,-1,0,-2.0377436066337395,0,0.0
imsa,Daytona 24 2026,lap_down,GTP,5,477398,GTP-01,4,4,806,86337.85656763452,27,2115.51338456927,1006.4000000000001,75,-1,0,18.310385791250155,0,0.0
imsa,Daytona 24 2026,agent,GTP,5,477398,GTP-01,11,60,574,86277.39382969704,554,28418.93897400335,15.200000000000001,81,-8,-232,78.77312372872257,527,-26303.425589434082
imsa,Daytona 24 2026,fuel_window,GTP,5,29077,GTP-05,11,11,783,86339.34190835898,26,2155.6931609846783,1022.4000000000001,118,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,29077,GTP-05,5,5,785,86347.65542584831,28,2206.134489601373,987.2,117,6,2,-8.313517489325022,2,-50.44132861669459
imsa,Daytona 24 2026,track_position,GTP,5,29077,GTP-05,10,10,784,86369.3979639979,26,2165.9314439846785,976.0000000000001,115,1,1,-30.05605563891004,0,-10.238283000000138
imsa,Daytona 24 2026,splash_and_dash,GTP,5,29077,GTP-05,11,11,783,86361.87561598791,28,2188.5654934986924,1011.2,118,0,0,-22.533707628928823,2,-32.87233251401403
imsa,Daytona 24 2026,lap_down,GTP,5,29077,GTP-05,10,10,783,86349.31871845642,26,2160.5428739846784,1030.4,117,1,0,-9.976810097432462,0,-4.849713000000065
imsa,Daytona 24 2026,agent,GTP,5,29077,GTP-05,11,60,577,86359.62097811386,557,26992.04610042653,12.0,120,0,-206,-20.279069754877128,531,-24836.35293944185
imsa,Daytona 24 2026,fuel_window,GTP,5,537097,GTP-02,7,7,762,86340.25719732053,26,2065.1403733832294,951.2,162,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,537097,GTP-02,7,7,763,86348.5561496418,32,2144.0256723613975,942.4000000000001,164,0,1,-8.298952321260003,6,-78.88529897816807
imsa,Daytona 24 2026,track_position,GTP,5,537097,GTP-02,8,8,763,86365.78815337941,25,2063.5934362987805,860.8000000000001,162,-1,1,-25.530956058879383,-1,1.5469370844489276
imsa,Daytona 24 2026,splash_and_dash,GTP,5,537097,GTP-02,8,8,761,86277.37518905921,28,2125.412594387669,964.0000000000001,162,-1,-1,62.88200826132379,2,-60.272221004439416
imsa,Daytona 24 2026,lap_down,GTP,5,537097,GTP-02,4,4,763,86368.10375556235,26,2069.2716103832295,913.6,162,3,1,-27.84655824181391,0,-4.131237000000056
imsa,Daytona 24 2026,agent,GTP,5,537097,GTP-02,11,60,580,86290.46031216941,564,26713.381067916464,10.4,173,-4,-182,49.796885151125025,538,-24648.240694533233
imsa,Daytona 24 2026,fuel_window,GTP,5,144656,GTP-11,10,10,757,86372.08884106105,26,2074.392953473999,729.6,165,0,0,0.0,0,0.0
imsa,Daytona 24 2026,caution_gambler,GTP,5,144656,GTP-11,9,9,758,86435.12262438823,28,2081.0653083948487,796.0,169,1,1,-63.033783327176934,2,-6.672354920849557
imsa,Daytona 24 2026,track_position,GTP,5,144656,GTP-11,10,10,757,86377.42366487329,24,2031.7541778402378,815.2,169,0,0,-5.334823812241666,-2,42.63877563376127
imsa,Daytona 24 2026,splash_and_dash,GTP,5,144656,GTP-11,10,10,757,86371.76625774318,26,2069.2217368316215,728.0,165,0,0,0.32258331787306815,0,5.171216642377658
imsa,Daytona 24 2026,lap_down,GTP,5,144656,GTP-11,10,10,757,86352.53578293229,26,2074.752191473999,775.2,165,0,0,19.553058128760313,0,-0.35923800000000483
