#{"t_start": 1787356050.433821, "env_id": "None"}
r,l,t
-3.0,633,3.891129
-2.0,652,7.268612
-5.0,637,10.420944
-9.0,634,13.481732
0.0,637,16.825323
0.0,654,20.642933
-1.0,664,24.384583
-2.0,677,28.182286
-2.0,663,31.714849
-2.0,668,34.776319
-2.0,673,38.269892
-6.0,684,41.564969
-4.0,706,45.766689
-3.0,663,49.144518
-6.0,673,52.772716
-9.0,679,56.219757
-3.0,674,59.923524
-8.0,666,63.524632
-4.0,685,66.983511
-8.0,676,70.420055
-2.0,705,74.125304
-4.0,695,77.644677
-1.0,688,81.211006
-2.0,713,84.863779
-9.0,731,88.708084
-1.0,682,92.624156
0.0,702,96.547631
-2.0,667,100.075387
-8.0,648,103.664569
-2.0,663,107.305817
-2.0,643,110.845195
-6.0,670,114.477192
-9.0,660,117.90091
-6.0,692,121.543521
-3.0,703,124.932445
-7.0,644,128.334929
-2.0,679,131.835861
-6.0,653,135.13182
-7.0,637,138.492792
-4.0,640,141.997036
-10.0,625,145.296024
-8.0,657,148.634538
-8.0,650,151.826921
-2.0,644,155.029328
-10.0,683,158.747668
0.0,667,161.926036
-10.0,681,165.08326
-9.0,663,168.032148
-5.0,703,171.261345
-8.0,662,174.363249
-8.0,683,177.738941
-3.0,671,181.260441
-1.0,685,184.815798
-10.0,704,188.216763
-6.0,694,191.820988
-10.0,711,195.206314
-5.0,721,198.537764
-3.0,664,201.829459
-5.0,675,204.834767
-5.0,690,208.044023
-6.0,706,211.369879
-5.0,700,214.541698
0.0,691,217.740642
-2.0,674,221.208231
-7.0,679,224.558593
0.0,700,227.909651
-5.0,645,231.420143
-9.0,703,234.723367
-6.0,690,237.991383
0.0,679,241.60749
-7.0,665,244.73685
-1.0,672,247.890017
0.0,662,251.165901
-9.0,648,254.190926
-3.0,653,257.345645
-1.0,649,260.471913
-9.0,648,263.775653
-2.0,640,266.857306
-8.0,643,270.098434
-5.0,636,273.233324
-2.0,658,276.509756
-5.0,649,279.733789
-5.0,643,283.266212
-2.0,617,286.320994
-5.0,639,289.556845
-5.0,666,292.665252
-3.0,670,295.815697
-2.0,643,299.081777
-10.0,636,302.144366
-8.0,638,305.263561
-8.0,646,308.437956
-1.0,647,311.685725
-2.0,666,314.829996
-4.0,686,318.063469
