#{"t_start": 1786207508.085707, "env_id": "None"}
r,l,t
183.0,184,1.727248
188.0,189,2.245146
184.0,185,3.258157
185.0,186,3.771195
187.0,188,4.207384
181.0,182,4.845906
185.0,186,5.325596
184.0,185,5.774077
183.0,184,6.362524
184.0,185,6.782248
182.0,183,7.23037
183.0,184,7.79349
180.0,181,8.224744
185.0,186,8.739055
181.0,182,9.117317
180.0,181,9.462819
184.0,185,9.922378
184.0,185,10.329845
182.0,183,10.715351
184.0,185,11.191977
173.0,174,11.469922
186.0,187,11.848383
177.0,178,12.284102
180.0,181,12.63201
176.0,177,12.972808
182.0,183,13.454356
184.0,185,13.802581
177.0,178,14.465654
179.0,180,15.103423
186.0,187,15.614886
185.0,186,16.241647
184.0,185,16.594951
183.0,184,17.304094
181.0,182,18.240391
187.0,188,18.767729
182.0,183,19.178195
183.0,184,19.92756
187.0,188,20.512223
186.0,187,21.038721
184.0,185,21.569486
180.0,181,21.962987
185.0,186,22.734483
184.0,185,23.293512
176.0,177,23.72108
181.0,182,24.455088
176.0,177,25.779074
182.0,183,26.535054
181.0,182,27.299998
181.0,182,28.032381
178.0,179,28.724041
179.0,180,29.858745
189.0,190,30.394569
180.0,181,30.749189
187.0,188,31.407244
180.0,181,31.97667
179.0,180,32.803653
188.0,189,33.343635
184.0,185,34.0828
180.0,181,34.906903
186.0,187,35.527058
183.0,184,35.959504
178.0,179,36.890574
185.0,186,37.831661
185.0,186,38.994643
186.0,187,39.972402
179.0,180,40.328886
180.0,181,41.073056
181.0,182,41.507179
187.0,188,41.930177
182.0,183,42.782282
181.0,182,43.29788
182.0,183,44.013563
187.0,188,44.5065
178.0,179,45.025296
179.0,180,45.955317
187.0,188,47.272212
182.0,183,47.843325
189.0,190,48.418914
185.0,186,49.030986
183.0,184,49.393286
186.0,187,50.227251
184.0,185,50.75834
184.0,185,51.26389
182.0,183,51.751674
183.0,184,52.210573
188.0,189,52.607633
187.0,188,53.219108
185.0,186,53.668568
185.0,186,54.146729
188.0,189,55.391143
185.0,186,56.088397
184.0,185,56.680674
185.0,186,57.0207
186.0,187,57.393495
183.0,184,57.95588
188.0,189,58.612817
