#{"t_start": 1787377567.400799, "env_id": "None"}
r,l,t
-4.0,363,3.393689
-10.0,357,5.329377
-3.0,355,6.897108
-17.0,353,8.343372
-15.0,355,9.831585
-11.0,353,11.826705
-13.0,362,13.342644
-16.0,358,15.788769
0.0,364,18.215321
-3.0,354,19.894656
-8.0,364,21.581013
-4.0,367,23.677956
-10.0,371,26.363685
-7.0,366,27.987278
-9.0,359,29.854987
-11.0,371,31.516985
-10.0,368,33.285698
-8.0,370,35.003191
-4.0,375,36.693804
-14.0,367,38.525143
-11.0,374,40.213284
-8.0,365,42.002553
-14.0,359,43.988734
-13.0,364,45.713534
-11.0,370,47.172653
-11.0,363,48.94695
-10.0,370,51.263877
-10.0,366,53.072875
-10.0,367,55.011735
0.0,359,56.797401
-17.0,363,58.661671
-4.0,360,60.197299
-7.0,366,61.995832
-17.0,365,63.870432
-2.0,361,65.187266
-14.0,355,66.93823
-16.0,359,68.537072
-10.0,347,69.985351
-16.0,363,71.94134
-14.0,357,73.61913
-9.0,347,75.376702
-17.0,360,76.802694
-14.0,357,78.74039
-15.0,356,80.757826
-5.0,352,82.186147
-8.0,359,83.922961
-12.0,364,85.565813
-8.0,358,87.019552
-14.0,360,88.817011
-14.0,358,90.392567
-3.0,360,91.994195
-2.0,351,93.373644
-13.0,358,94.874936
-12.0,359,96.699901
-6.0,359,98.058566
-15.0,359,99.70389
-4.0,355,101.26115
-9.0,355,102.753268
-11.0,352,104.662817
-3.0,338,106.23958
0.0,342,107.616654
-11.0,348,109.34526
-13.0,344,111.115547
-15.0,343,112.697993
-12.0,345,114.48833
-17.0,344,116.392802
-11.0,350,117.989554
-9.0,340,119.813195
-3.0,344,121.587184
-3.0,341,122.992037
-8.0,343,124.852238
-3.0,345,126.42273
-15.0,345,127.88977
-10.0,343,129.5655
-13.0,342,131.128663
-1.0,338,132.534981
-15.0,346,134.284173
-8.0,340,135.816052
-14.0,350,137.442856
-8.0,347,139.324521
-11.0,347,141.009695
-14.0,352,142.745563
-5.0,339,144.381898
-12.0,346,146.033152
-11.0,347,147.689998
-12.0,354,149.172045
-13.0,355,150.871061
-8.0,348,152.515421
-15.0,350,153.997424
-10.0,348,155.629288
-16.0,355,157.263026
-3.0,353,158.716275
-10.0,350,160.353963
-15.0,352,162.012276
-10.0,351,163.500735
-16.0,346,165.145725
-7.0,353,166.796537
-10.0,342,168.206851
-14.0,349,169.856091
-9.0,348,171.518103
-4.0,338,172.964413
-10.0,351,174.574753
-14.0,349,176.215035
-11.0,348,177.844276
-4.0,344,179.418012
-9.0,345,181.106073
-16.0,347,183.123999
-8.0,347,184.784274
-15.0,349,186.460576
-13.0,347,188.15173
-6.0,349,189.655879
-10.0,348,191.36809
-10.0,349,193.042228
-14.0,345,195.027372
-6.0,339,196.809895
-10.0,347,198.661445
-13.0,346,200.291342
-17.0,346,202.012175
-7.0,342,203.952936
-10.0,343,205.664361
-14.0,348,207.336967
-16.0,344,209.099488
-6.0,346,210.650493
-3.0,340,212.33821
-6.0,345,214.008235
-12.0,348,215.515856
-10.0,344,217.182112
-17.0,351,218.876068
-12.0,344,220.437861
-17.0,334,222.144183
-9.0,342,223.962608
-15.0,344,225.488031
-14.0,340,227.577131
-6.0,338,229.364021
-10.0,346,230.99804
-5.0,347,232.722112
-7.0,349,234.418532
-12.0,347,235.923723
-3.0,345,237.611592
-15.0,336,239.266562
-14.0,346,240.781957
-8.0,344,242.46141
-13.0,339,244.123251
-8.0,343,245.63512
-9.0,345,247.31113
-15.0,350,248.990071
-7.0,351,250.507625
-4.0,340,252.172693
-8.0,352,253.876273
-4.0,341,255.382551
-9.0,341,257.066912
-15.0,349,258.743942
-17.0,345,260.376318
-13.0,346,261.925066
-14.0,343,263.601977
-10.0,345,265.274751
-17.0,341,266.780909
-8.0,339,268.438613
-13.0,349,270.141583
-13.0,340,271.660859
-4.0,344,273.334865
-14.0,340,275.005202
-5.0,345,276.539092
-2.0,342,278.205198
-13.0,341,279.872201
-2.0,344,281.371098
-9.0,344,283.049115
-16.0,339,284.748034
-14.0,344,286.27166
-6.0,340,287.953744
-10.0,342,289.632563
-4.0,342,291.155228
-11.0,337,292.872188
-14.0,335,294.531536
-7.0,344,296.044215
-11.0,348,297.750546
-14.0,342,299.428695
-3.0,333,300.918272
-9.0,345,302.640842
