#{"t_start": 1786207695.411278, "env_id": "None"}
r,l,t
181.0,182,0.657732
179.0,180,1.180901
184.0,185,1.893729
183.0,184,2.387015
187.0,188,3.190939
186.0,187,4.553702
185.0,186,5.529483
180.0,181,6.106228
179.0,180,6.896258
181.0,182,7.522532
174.0,175,8.278726
182.0,183,9.285542
181.0,182,10.080271
184.0,185,10.605647
182.0,183,11.303532
179.0,180,12.490931
182.0,183,14.490969
177.0,178,15.20107
174.0,175,15.766781
179.0,180,16.452935
177.0,178,16.955029
181.0,182,17.436051
171.0,172,18.142685
181.0,182,18.660587
178.0,179,19.113638
179.0,180,19.748545
179.0,180,20.374458
180.0,181,21.077284
182.0,183,22.192461
181.0,182,22.807433
182.0,183,23.721764
179.0,180,24.730535
180.0,181,25.315679
178.0,179,26.310554
175.0,176,27.082233
171.0,172,27.890536
181.0,182,29.244567
176.0,177,30.054882
181.0,182,30.574924
176.0,177,31.802743
180.0,181,32.691706
174.0,175,33.288211
179.0,180,34.503699
184.0,185,35.436811
181.0,182,36.019083
178.0,179,36.690391
181.0,182,37.208219
174.0,175,37.815968
183.0,184,38.874695
182.0,183,39.537028
183.0,184,40.317455
181.0,182,41.065347
179.0,180,41.714438
180.0,181,42.509373
176.0,177,43.310601
180.0,181,43.925555
185.0,186,44.734346
180.0,181,45.199708
179.0,180,45.643827
179.0,180,46.461311
179.0,180,47.177738
181.0,182,47.780801
178.0,179,48.676383
180.0,181,49.248731
182.0,183,49.864424
172.0,173,50.476457
174.0,175,50.934523
180.0,181,51.501049
186.0,187,52.164346
181.0,182,52.647638
182.0,183,53.325119
185.0,186,53.778839
185.0,186,54.271069
182.0,183,54.890833
181.0,182,55.358664
180.0,181,55.946387
176.0,177,56.946978
180.0,181,57.722193
174.0,175,58.211987
179.0,180,59.212552
181.0,182,59.924609
175.0,176,60.578699
177.0,178,61.398563
182.0,183,62.105216
185.0,186,62.996021
176.0,177,63.54536
187.0,188,64.271271
183.0,184,65.377711
186.0,187,66.14881
172.0,173,66.777307
184.0,185,67.673142
181.0,182,68.310932
182.0,183,68.969104
184.0,185,69.736218
179.0,180,70.173165
184.0,185,70.6314
177.0,178,71.267956
184.0,185,71.781187
178.0,179,72.231544
180.0,181,72.851045
181.0,182,73.289917
178.0,179,73.922403
180.0,181,74.374731
181.0,182,74.912135
176.0,177,75.912309
180.0,181,76.37986
180.0,181,76.825994
181.0,182,77.435973
178.0,179,77.852954
179.0,180,78.289843
187.0,188,78.92997
180.0,181,79.372664
175.0,176,79.783099
183.0,184,80.466273
182.0,183,80.896544
183.0,184,81.519615
186.0,187,81.991061
182.0,183,82.446106
184.0,185,83.056472
185.0,186,83.501057
174.0,175,83.907091
183.0,184,84.517268
177.0,178,84.957625
181.0,182,85.405639
181.0,182,86.013277
180.0,181,86.44875
174.0,175,86.847242
182.0,183,87.460421
181.0,182,87.911057
183.0,184,88.357564
180.0,181,89.002761
176.0,177,89.448124
182.0,183,90.135404
176.0,177,90.586517
185.0,186,91.055995
185.0,186,91.700894
182.0,183,92.200647
184.0,185,92.659628
176.0,177,93.30097
182.0,183,93.749938
184.0,185,94.262916
179.0,180,95.324123
175.0,176,96.061204
183.0,184,96.764947
183.0,184,97.552404
185.0,186,98.402273
187.0,188,99.539446
176.0,177,100.228353
181.0,182,100.952053
183.0,184,101.840187
183.0,184,102.427276
183.0,184,103.194364
171.0,172,104.043771
180.0,181,104.863607
179.0,180,105.626785
182.0,183,106.524208
181.0,182,106.973548
180.0,181,107.424868
183.0,184,108.084709
183.0,184,108.573349
184.0,185,109.245388
180.0,181,109.908153
174.0,175,110.860729
181.0,182,111.779433
177.0,178,112.460268
183.0,184,113.231017
179.0,180,113.994883
184.0,185,114.58287
184.0,185,115.315101
182.0,183,116.161025
182.0,183,116.629393
178.0,179,117.065751
178.0,179,117.680026
181.0,182,118.160281
189.0,190,118.676042
181.0,182,119.330747
179.0,180,119.803866
175.0,176,120.454322
180.0,181,120.922352
185.0,186,121.404139
179.0,180,122.175478
176.0,177,122.743006
180.0,181,123.210445
181.0,182,123.846158
185.0,186,124.288315
184.0,185,124.767293
185.0,186,125.427595
188.0,189,125.955229
185.0,186,126.453098
183.0,184,127.102814
176.0,177,127.571725
181.0,182,128.183078
178.0,179,128.609049
180.0,181,129.134069
182.0,183,129.86106
185.0,186,130.433338
179.0,180,130.930024
178.0,179,131.593656
185.0,186,132.055942
186.0,187,132.583201
183.0,184,133.333088
172.0,173,133.973774
178.0,179,134.758243
182.0,183,136.087852
181.0,182,136.669298
181.0,182,137.40609
184.0,185,137.988006
183.0,184,138.502385
181.0,182,139.169122
181.0,182,139.654836
175.0,176,140.134149
176.0,177,140.809396
183.0,184,141.290869
176.0,177,141.738536
182.0,183,142.41873
185.0,186,142.978372
182.0,183,143.543747
185.0,186,144.30702
180.0,181,144.819885
180.0,181,145.321362
184.0,185,145.993901
183.0,184,146.44609
180.0,181,147.107165
189.0,190,147.601069
184.0,185,148.08598
180.0,181,149.216041
180.0,181,150.007725
183.0,184,150.919464
188.0,189,151.725976
183.0,184,152.481616
180.0,181,153.163671
187.0,188,153.989889
184.0,185,154.708945
186.0,187,155.584349
183.0,184,156.076542
184.0,185,156.572407
181.0,182,157.228945
186.0,187,157.729872
185.0,186,158.176623
178.0,179,158.835791
183.0,184,159.38622
185.0,186,159.92882
183.0,184,160.584157
186.0,187,161.074455
183.0,184,161.534723
192.0,193,162.177243
181.0,182,162.661663
190.0,191,163.330708
181.0,182,164.007571
190.0,191,164.786102
179.0,180,165.61716
182.0,183,166.071864
188.0,189,166.53323
187.0,188,167.176123
188.0,189,167.697616
184.0,185,168.401688
185.0,186,169.261255
184.0,185,170.360824
184.0,185,171.488714
187.0,188,172.035305
181.0,182,172.607692
179.0,180,173.412705
179.0,180,173.968728
186.0,187,174.610484
185.0,186,176.43775
183.0,184,176.992375
182.0,183,177.54726
184.0,185,178.855999
178.0,179,179.629144
187.0,188,180.750259
185.0,186,181.515629
182.0,183,182.2716
185.0,186,183.118534
183.0,184,183.928284
181.0,182,184.527222
187.0,188,185.598059
183.0,184,186.305225
176.0,177,186.869114
182.0,183,187.533595
182.0,183,187.988534
181.0,182,188.485458
180.0,181,189.145422
183.0,184,189.81839
180.0,181,190.799483
178.0,179,191.450724
180.0,181,191.91673
187.0,188,192.663829
190.0,191,193.425024
175.0,176,194.03469
189.0,190,194.941625
183.0,184,195.731589
181.0,182,196.215866
187.0,188,196.88849
185.0,186,197.376348
172.0,173,197.823799
186.0,187,198.471117
186.0,187,198.947242
187.0,188,199.803939
185.0,186,200.45822
185.0,186,200.978824
180.0,181,201.653171
188.0,189,202.223256
184.0,185,202.7372
184.0,185,203.400708
190.0,191,204.039112
188.0,189,204.560765
184.0,185,205.467032
180.0,181,206.413218
188.0,189,207.741722
191.0,192,208.608973
186.0,187,209.447602
183.0,184,210.354857
189.0,190,211.001391
187.0,188,211.559935
190.0,191,212.391056
190.0,191,212.951237
174.0,175,213.670752
187.0,188,214.24569
181.0,182,214.773894
183.0,184,215.55912
183.0,184,216.106003
190.0,191,216.671343
186.0,187,217.392897
185.0,186,218.043686
174.0,175,218.586498
178.0,179,219.291784
190.0,191,219.941294
190.0,191,220.570509
183.0,184,221.355714
187.0,188,221.901118
182.0,183,222.743754
190.0,191,223.539537
185.0,186,224.098141
188.0,189,224.884656
184.0,185,225.398076
182.0,183,225.932407
191.0,192,226.687033
187.0,188,227.877561
186.0,187,228.674632
186.0,187,229.185794
186.0,187,229.788863
181.0,182,230.516817
183.0,184,231.008661
188.0,189,231.522945
