series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,714541,HYPERCAR-16,12,12,385,86363.4701368573,36,2557.4544642462865,570.4000000000001,25,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,714541,HYPERCAR-16,1,1,386,86374.21725493607,36,2535.8971242462862,568.0,24,11,1,-10.747118078768835,0,21.557340000000295
wec,Le Mans 24 2026,track_position,HYPERCAR,5,714541,HYPERCAR-16,4,4,385,86189.54989406453,36,2561.0473542462864,536.8000000000001,24,8,0,173.92024279276666,0,-3.5928899999998976
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,714541,HYPERCAR-16,10,10,385,86351.72341956274,37,2541.431076595531,576.8000000000001,25,2,0,11.746717294561677,1,16.023387650755467
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,714541,HYPERCAR-16,12,12,385,86363.4701368573,36,2557.4544642462865,570.4000000000001,25,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,714541,HYPERCAR-16,18,37,364,86377.58038766675,163,8405.857725272737,236.8,29,-6,-21,-14.110250809448189,127,-5848.403261026451
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,969854,HYPERCAR-14,11,11,377,86234.19722522928,35,2416.1630475562847,528.8000000000001,41,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,969854,HYPERCAR-14,1,1,379,86301.14920605106,36,2408.67038105956,499.20000000000005,39,10,2,-66.95198082178831,1,7.492666496724723
wec,Le Mans 24 2026,track_position,HYPERCAR,5,969854,HYPERCAR-14,6,6,378,86344.28404897172,35,2422.424941556285,519.2,42,5,1,-110.08682374244381,0,-6.261894000000211
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,969854,HYPERCAR-14,9,9,377,86187.30461527396,35,2370.971244116504,528.0,41,2,0,46.89260995532095,0,45.19180343978087
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,969854,HYPERCAR-14,11,11,377,86234.19722522928,35,2416.1630475562847,528.8000000000001,41,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,969854,HYPERCAR-14,18,37,356,86156.11434475724,181,9005.721652662633,198.4,45,-7,-21,78.08288047203678,146,-6589.558605106347
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,153933,HYPERCAR-05,8,8,390,86188.73575793754,37,2679.5144326622335,564.0,20,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,153933,HYPERCAR-05,8,8,390,86185.15410315529,37,2658.9836326622335,547.2,20,0,0,3.5816547822469147,0,20.5308
wec,Le Mans 24 2026,track_position,HYPERCAR,5,153933,HYPERCAR-05,7,7,390,86185.9125110104,36,2633.86142404562,528.8000000000001,20,1,0,2.8232469271315495,-1,45.65300861661353
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,153933,HYPERCAR-05,8,8,391,86377.71437721683,38,2666.3900948643995,563.2,20,0,1,-188.97861927929625,1,13.12433779783396
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,153933,HYPERCAR-05,8,8,390,86188.73575793754,37,2679.5144326622335,564.0,20,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,153933,HYPERCAR-05,18,37,364,86247.29127469355,172,8916.7523042838,252.8,23,-10,-26,-58.55551675600873,135,-6237.237871621566
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,899748,HYPERCAR-13,3,3,387,86310.78352493785,36,2497.1387639928876,497.6,26,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,899748,HYPERCAR-13,3,3,387,86264.11389592916,37,2543.834558065185,517.6,26,0,0,46.669629008698394,1,-46.6957940722973
wec,Le Mans 24 2026,track_position,HYPERCAR,5,899748,HYPERCAR-13,4,4,388,86335.16189724051,35,2450.2891149338293,572.0,23,-1,1,-24.378372302657226,-1,46.849649059058265
wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,899748,HYPERCAR-13,2,2,387,86290.1118376454,37,2487.5598477139856,490.40000000000003,26,1,0,20.671687292458955,1,9.578916278901943
wec,Le Mans 24 2026,lap_down,HYPERCAR,5,899748,HYPERCAR-13,3,3,387,86310.78352493785,36,2497.1387639928876,497.6,26,0,0,0.0,0,0.0
wec,Le Mans 24 2026,agent,HYPERCAR,5,899748,HYPERCAR-13,18,37,361,86373.39952967622,182,9044.386316891865,252.00000000000003,27,-15,-26,-62.61600473836006,146,-6547.247552898978
wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,125335,HYPERCAR-18,2,2,372,86223.2383620143,33,2381.387248167451,399.20000000000005,53,0,0,0.0,0,0.0
wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,125335,HYPERCAR-18,2,2,372,86218.26794572665,36,2473.718166317021,464.8,52,0,0,4.970416287644184,3,-92.3309181495697
