multiplier,pit_transit_frac,strategy,laps,stops,pit_time_s,class_pos,s_per_stop
1.0,0.25,agent,580.9,525.14,25013.25,11.0,47.63
1.0,0.25,caution_gambler,745.36,29.44,1959.02,4.4,66.54
1.0,0.25,fuel_window,744.9,24.92,1902.01,5.24,76.32
1.0,0.25,lap_down,744.92,24.74,1898.94,5.4,76.76
1.0,0.25,splash_and_dash,744.82,25.64,1894.92,4.52,73.9
1.0,0.25,track_position,745.06,24.4,1895.14,5.4,77.67
1.4,0.35,agent,557.76,502.14,27806.46,11.0,55.38
1.4,0.35,caution_gambler,745.16,29.3,2008.33,4.18,68.54
1.4,0.35,fuel_window,744.48,24.94,1936.8,5.56,77.66
1.4,0.35,lap_down,744.54,24.7,1925.37,5.08,77.95
1.4,0.35,splash_and_dash,744.52,25.52,1930.59,5.24,75.65
1.4,0.35,track_position,744.82,24.44,1916.76,4.54,78.43
1.8,0.45,agent,536.58,481.08,30335.42,11.0,63.06
1.8,0.45,caution_gambler,744.76,29.4,2075.15,4.3,70.58
1.8,0.45,fuel_window,744.3,24.98,1969.27,5.86,78.83
1.8,0.45,lap_down,744.34,24.78,1957.15,5.32,78.98
1.8,0.45,splash_and_dash,744.2,25.58,1975.35,5.7,77.22
1.8,0.45,track_position,744.52,24.32,1938.23,4.86,79.7
2.2,0.55,agent,515.48,460.36,32596.77,11.0,70.81
2.2,0.55,caution_gambler,744.46,29.38,2143.55,4.84,72.96
2.2,0.55,fuel_window,744.02,24.98,2002.06,5.1,80.15
2.2,0.55,lap_down,744.06,24.78,1990.48,5.18,80.33
2.2,0.55,splash_and_dash,743.82,25.56,2016.68,5.68,78.9
2.2,0.55,track_position,744.26,24.3,1964.31,4.84,80.84
2.6,0.65,agent,494.46,440.2,34620.08,11.0,78.65
2.6,0.65,caution_gambler,743.9,29.44,2252.59,4.42,76.51
2.6,0.65,fuel_window,743.46,24.88,2058.96,5.22,82.76
2.6,0.65,lap_down,743.44,24.72,2043.34,5.48,82.66
2.6,0.65,splash_and_dash,743.22,25.42,2077.44,5.82,81.72
2.6,0.65,track_position,743.62,24.34,2006.62,4.94,82.44
