multiplier,pit_transit_frac,series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,496254,GTP-03,4,4,741,86300.87579059626,25,1800.0890735982691,790.4000000000001,195,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,496254,GTP-03,1,1,743,86330.9236223151,28,1794.974120398781,755.2,195,3,2,-30.047831718839006,3,5.114953199488127
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,496254,GTP-03,4,4,741,86321.97173834514,24,1703.2872530891011,836.0000000000001,193,0,0,-21.095947748879553,-1,96.80182050916801
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,496254,GTP-03,2,2,742,86380.30252057551,26,1781.3754235976667,788.8000000000001,195,2,1,-79.42672997925547,1,18.713650000602456
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,496254,GTP-03,6,6,741,86355.6766215382,25,1802.3343110982692,778.4000000000001,195,-2,0,-54.80083094193833,0,-2.24523750000003
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,496254,GTP-03,8,8,740,86313.65469919481,59,2770.6647840354076,795.2,194,-4,-1,-12.778908598556882,34,-970.5757104371385
1.0,0.25,imsa,Daytona 24 2026,fuel_window,GTP,5,630088,GTP-05,1,1,795,86311.06846653191,28,2202.4150821679023,1006.4000000000001,106,0,0,0.0,0,0.0
1.0,0.25,imsa,Daytona 24 2026,caution_gambler,GTP,5,630088,GTP-05,3,3,795,86382.6999886022,32,2324.3705837562156,994.4000000000001,104,-2,0,-71.63152207028179,4,-121.95550158831338
1.0,0.25,imsa,Daytona 24 2026,track_position,GTP,5,630088,GTP-05,1,1,795,86301.51332140878,26,2032.3472682394013,980.0000000000001,104,0,0,9.555145123129478,-2,170.06781392850098
1.0,0.25,imsa,Daytona 24 2026,splash_and_dash,GTP,5,630088,GTP-05,1,1,795,86257.10923499017,29,2188.8498809616763,1019.2,106,0,0,53.95923154173943,1,13.565201206225993
1.0,0.25,imsa,Daytona 24 2026,lap_down,GTP,5,630088,GTP-05,2,2,795,86233.84897009931,27,2157.386439717309,980.8000000000001,105,-1,0,77.2194964326045,-1,45.02864245059345
1.0,0.25,imsa,Daytona 24 2026,agent,GTP,5,630088,GTP-05,1,1,796,86388.78440503031,58,3016.6142157907298,1025.6000000000001,102,0,1,-77.71593849839701,30,-814.1991336228275
