multiplier,pit_transit_frac,series,strategy,n,gained,level,lost,median_d_pos,p10_d_pos,p90_d_pos,median_d_laps,median_d_pit_s,median_stops
1.0,0.25,imsa,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1.0,0.25,imsa,caution_gambler,50.0,0.56,0.16,0.28,1.0,-3.0,6.100000000000001,0.0,-120.78820630763119,29.0
1.0,0.25,imsa,track_position,50.0,0.46,0.16,0.38,0.0,-3.0,5.100000000000001,0.0,7.499093249999987,24.0
1.0,0.25,imsa,splash_and_dash,50.0,0.36,0.46,0.18,0.0,-2.0999999999999996,3.0,0.0,0.3442582023550358,26.0
1.0,0.25,imsa,lap_down,50.0,0.34,0.2,0.46,0.0,-3.0999999999999996,4.100000000000001,0.0,-2.24523750000003,25.0
1.0,0.25,imsa,agent,50.0,0.28,0.08,0.64,-2.0,-7.0,3.200000000000003,0.0,-1072.2506443233478,65.0
1.4,0.35,imsa,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1.4,0.35,imsa,caution_gambler,50.0,0.62,0.12,0.26,1.5,-5.1,6.100000000000001,0.0,-176.8629150614513,29.0
1.4,0.35,imsa,track_position,50.0,0.62,0.02,0.36,1.0,-3.0999999999999996,5.100000000000001,0.0,15.716662499999984,24.0
1.4,0.35,imsa,splash_and_dash,50.0,0.32,0.44,0.24,0.0,-3.0,3.1000000000000014,0.0,0.595588327808855,25.5
1.4,0.35,imsa,lap_down,50.0,0.42,0.24,0.34,0.0,-4.0,4.0,0.0,-1.945872500000064,25.0
1.4,0.35,imsa,agent,50.0,0.42,0.02,0.56,-1.5,-6.1,6.0,0.0,-1075.581121780367,56.0
1.8,0.45,imsa,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
1.8,0.45,imsa,caution_gambler,50.0,0.42,0.18,0.4,0.0,-6.0,4.0,0.0,-220.21019271853038,29.0
1.8,0.45,imsa,track_position,50.0,0.4,0.12,0.48,0.0,-4.0,4.300000000000004,0.0,17.48590964999994,24.0
1.8,0.45,imsa,splash_and_dash,50.0,0.3,0.34,0.36,0.0,-2.0999999999999996,2.1000000000000014,0.0,0.0,26.0
1.8,0.45,imsa,lap_down,50.0,0.3,0.24,0.46,0.0,-4.1,4.0,0.0,-1.8770185500001162,25.0
1.8,0.45,imsa,agent,50.0,0.38,0.1,0.52,-1.0,-8.1,4.100000000000001,0.0,-1130.91273087494,50.5
2.2,0.55,imsa,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2.2,0.55,imsa,caution_gambler,50.0,0.42,0.2,0.38,0.0,-8.0,4.100000000000001,0.0,-279.8988265690614,29.0
2.2,0.55,imsa,track_position,50.0,0.56,0.1,0.34,1.0,-4.1,4.0,0.0,6.421379249999973,24.0
2.2,0.55,imsa,splash_and_dash,50.0,0.16,0.52,0.32,0.0,-3.1999999999999993,1.0,0.0,0.0,25.5
2.2,0.55,imsa,lap_down,50.0,0.44,0.22,0.34,0.0,-4.0,4.0,0.0,-1.7692471499999556,25.0
2.2,0.55,imsa,agent,50.0,0.26,0.12,0.62,-1.0,-9.0,4.0,0.0,-1317.35242496441,49.0
2.6,0.65,imsa,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
2.6,0.65,imsa,caution_gambler,50.0,0.5,0.22,0.28,0.5,-3.0999999999999996,7.0,1.0,-317.7889601239701,29.0
2.6,0.65,imsa,track_position,50.0,0.52,0.14,0.34,1.0,-4.0,6.0,0.0,12.573329999999942,24.0
2.6,0.65,imsa,splash_and_dash,50.0,0.2,0.42,0.38,0.0,-3.0999999999999996,2.0,0.0,0.0,25.5
2.6,0.65,imsa,lap_down,50.0,0.44,0.24,0.32,0.0,-3.0999999999999996,4.100000000000001,0.0,0.0,25.0
2.6,0.65,imsa,agent,50.0,0.34,0.08,0.58,-1.0,-7.0,4.0,0.0,-1485.9114195827474,49.0
