multiplier,pit_transit_frac,strategy,laps,stops,pit_time_s,class_pos,s_per_stop
1.0,0.25,agent,381.94,111.64,3462.37,17.32,31.01
1.0,0.25,caution_gambler,384.42,37.02,2576.27,6.5,69.59
1.0,0.25,fuel_window,384.36,36.02,2562.79,6.56,71.15
1.0,0.25,lap_down,384.38,35.94,2559.25,6.64,71.21
1.0,0.25,splash_and_dash,384.52,36.52,2535.83,5.4,69.44
1.0,0.25,track_position,384.3,35.72,2549.07,7.26,71.36
1.4,0.35,agent,380.92,101.42,3775.77,17.96,37.23
1.4,0.35,caution_gambler,384.28,36.96,2617.34,5.68,70.82
1.4,0.35,fuel_window,384.3,36.02,2601.13,6.1,72.21
1.4,0.35,lap_down,384.28,35.98,2600.12,6.32,72.27
1.4,0.35,splash_and_dash,384.4,36.62,2584.29,5.34,70.57
1.4,0.35,track_position,384.22,35.76,2589.12,6.32,72.4
1.8,0.45,agent,380.12,94.78,4054.98,17.96,42.78
1.8,0.45,caution_gambler,384.04,37.02,2667.92,6.64,72.07
1.8,0.45,fuel_window,383.98,36.02,2644.79,7.4,73.43
1.8,0.45,lap_down,384.02,35.94,2640.18,7.26,73.46
1.8,0.45,splash_and_dash,383.98,36.62,2633.34,6.64,71.91
1.8,0.45,track_position,383.96,35.7,2625.6,6.98,73.55
2.2,0.55,agent,379.44,88.4,4250.09,18.0,48.08
2.2,0.55,caution_gambler,383.78,36.92,2710.53,6.74,73.42
2.2,0.55,fuel_window,383.72,36.0,2687.49,7.1,74.65
2.2,0.55,lap_down,383.7,35.92,2682.74,7.44,74.69
2.2,0.55,splash_and_dash,383.72,36.56,2680.8,6.76,73.33
2.2,0.55,track_position,383.82,35.7,2667.88,6.82,74.73
2.6,0.65,agent,378.72,85.58,4531.88,18.0,52.95
2.6,0.65,caution_gambler,383.6,36.86,2746.13,6.62,74.5
2.6,0.65,fuel_window,383.68,35.98,2722.8,7.26,75.68
2.6,0.65,lap_down,383.68,35.94,2719.93,6.96,75.68
2.6,0.65,splash_and_dash,383.6,36.48,2719.98,6.96,74.56
2.6,0.65,track_position,383.64,35.66,2698.54,7.12,75.67
