multiplier,pit_transit_frac,series,race,strategy,class,pace_rank,seed,focal,class_pos,overall_pos,laps,race_time_s,stops,pit_time_s,traffic_time_s,caution_laps,d_class_pos,d_laps,d_race_time_s,d_stops,d_pit_time_s
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,639431,HYPERCAR-03,4,4,391,86191.58929120861,38,2568.932804796597,530.4,18,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,639431,HYPERCAR-03,4,4,391,86191.58929120861,38,2568.932804796597,530.4,18,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,639431,HYPERCAR-03,6,6,391,86266.76161211361,38,2601.2397438565063,554.4000000000001,17,-2,0,-75.17232090499601,0,-32.30693905990938
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,639431,HYPERCAR-03,4,4,392,86369.06380193113,39,2539.670479376918,533.6,18,0,1,-177.47451072251715,1,29.262325419678746
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,639431,HYPERCAR-03,4,4,392,86369.77959968788,37,2512.932686025591,582.4000000000001,18,0,1,-178.19030847927206,-1,56.00011877100587
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,639431,HYPERCAR-03,18,18,388,86340.69165270867,102,3276.653655420011,444.8,18,-14,-3,-149.1023615000595,64,-707.7208506234142
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,497127,HYPERCAR-17,5,5,396,86456.44239830981,38,2789.010690003233,546.4000000000001,6,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,497127,HYPERCAR-17,5,5,396,86456.44239830981,38,2789.010690003233,546.4000000000001,6,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,497127,HYPERCAR-17,6,6,395,86284.09028427512,38,2820.617333351214,545.6,6,-1,-1,172.35211403468566,0,-31.606643347980935
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,497127,HYPERCAR-17,3,3,396,86415.90109557251,38,2755.023115688897,538.4000000000001,6,2,0,40.5413027372997,0,33.98757431433569
1.0,0.25,wec,Le Mans 24 2026,lap_down,HYPERCAR,5,497127,HYPERCAR-17,5,5,396,86456.44239830981,38,2789.010690003233,546.4000000000001,6,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,agent,HYPERCAR,5,497127,HYPERCAR-17,17,17,392,86248.20946685853,107,3611.08439500456,492.00000000000006,6,-12,-4,208.23293145127536,69,-822.0737050013272
1.0,0.25,wec,Le Mans 24 2026,fuel_window,HYPERCAR,5,737684,HYPERCAR-04,6,6,380,86307.5089344363,35,2508.212370658249,528.8000000000001,38,0,0,0.0,0,0.0
1.0,0.25,wec,Le Mans 24 2026,caution_gambler,HYPERCAR,5,737684,HYPERCAR-04,4,4,381,86160.83861875183,37,2585.2444583502506,513.6,36,2,1,146.67031568445964,2,-77.03208769200182
1.0,0.25,wec,Le Mans 24 2026,track_position,HYPERCAR,5,737684,HYPERCAR-04,7,7,380,86330.20736474564,35,2476.0916693141335,519.2,35,-1,0,-22.698430309348623,0,32.12070134411533
1.0,0.25,wec,Le Mans 24 2026,splash_and_dash,HYPERCAR,5,737684,HYPERCAR-04,6,6,380,86294.52904353518,36,2494.155809400891,532.0,38,0,0,12.97989090111514,1,14.056561257357771
