multiplier,pit_transit_frac,series,strategy,n,gained,level,lost,median_d_pos,p10_d_pos,p90_d_pos,median_d_laps,median_d_pit_s,median_stops
1.0,0.25,wec,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
1.0,0.25,wec,caution_gambler,50.0,0.4,0.3,0.3,0.0,-4.0,2.1000000000000014,0.0,0.0,37.0
1.0,0.25,wec,track_position,50.0,0.26,0.26,0.48,0.0,-5.0,2.1000000000000014,0.0,0.4106160000001182,36.0
1.0,0.25,wec,splash_and_dash,50.0,0.62,0.38,0.0,1.0,0.0,3.0,0.0,29.39954497063809,37.0
1.0,0.25,wec,lap_down,50.0,0.1,0.8,0.1,0.0,-0.1999999999999993,0.10000000000000142,0.0,0.0,36.0
1.0,0.25,wec,agent,50.0,0.0,0.0,1.0,-11.0,-15.0,-6.0,-2.0,-915.9030156567751,112.0
1.4,0.35,wec,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
1.4,0.35,wec,caution_gambler,50.0,0.42,0.32,0.26,0.0,-2.0999999999999996,4.0,0.0,-7.234003464536045,37.0
1.4,0.35,wec,track_position,50.0,0.28,0.32,0.4,0.0,-5.0,3.200000000000003,0.0,0.0,36.0
1.4,0.35,wec,splash_and_dash,50.0,0.42,0.56,0.02,0.0,0.0,2.1000000000000014,0.0,16.685840449254556,37.0
1.4,0.35,wec,lap_down,50.0,0.12,0.76,0.12,0.0,-1.0,1.0,0.0,0.0,36.0
1.4,0.35,wec,agent,50.0,0.0,0.0,1.0,-12.5,-15.0,-8.0,-3.5,-1156.4124768661275,101.0
1.8,0.45,wec,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
1.8,0.45,wec,caution_gambler,50.0,0.3,0.42,0.28,0.0,-3.0999999999999996,7.0,0.0,-6.643742964536159,37.0
1.8,0.45,wec,track_position,50.0,0.44,0.28,0.28,0.0,-3.0,4.100000000000001,0.0,0.20530799999983174,36.0
1.8,0.45,wec,splash_and_dash,50.0,0.36,0.64,0.0,0.0,0.0,3.0,0.0,7.5345373718532755,37.0
1.8,0.45,wec,lap_down,50.0,0.1,0.8,0.1,0.0,-0.09999999999999964,0.10000000000000142,0.0,0.0,36.0
1.8,0.45,wec,agent,50.0,0.0,0.02,0.98,-11.0,-15.1,-5.0,-4.0,-1357.3535996622104,92.5
2.2,0.55,wec,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2.2,0.55,wec,caution_gambler,50.0,0.34,0.34,0.32,0.0,-3.0,5.0,0.0,-5.449805161129916,37.0
2.2,0.55,wec,track_position,50.0,0.36,0.28,0.36,0.0,-4.0,4.100000000000001,0.0,0.0,36.0
2.2,0.55,wec,splash_and_dash,50.0,0.28,0.56,0.16,0.0,-1.0,2.0,0.0,1.944261524947251,37.0
2.2,0.55,wec,lap_down,50.0,0.08,0.74,0.18,0.0,-2.0999999999999996,0.0,0.0,0.0,36.0
2.2,0.55,wec,agent,50.0,0.0,0.0,1.0,-11.5,-16.0,-5.899999999999999,-4.0,-1526.0446335419067,87.0
2.6,0.65,wec,fuel_window,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
2.6,0.65,wec,caution_gambler,50.0,0.3,0.4,0.3,0.0,-3.0,7.100000000000001,0.0,0.0,37.0
2.6,0.65,wec,track_position,50.0,0.36,0.2,0.44,0.0,-3.0999999999999996,4.0,0.0,0.0,36.0
2.6,0.65,wec,splash_and_dash,50.0,0.22,0.6,0.18,0.0,-1.0,2.0,0.0,-3.232546650877566,37.0
2.6,0.65,wec,lap_down,50.0,0.12,0.78,0.1,0.0,-0.09999999999999964,1.1000000000000014,0.0,0.0,36.0
2.6,0.65,wec,agent,50.0,0.0,0.0,1.0,-12.0,-15.0,-4.899999999999999,-5.0,-1729.9218351129578,83.0
